"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
respiratory_date,advanced_respiratory_data,,text,"Respiratory Date",,,date_dmy,[basic_arm_1][dob],today,y,,y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
respiratory_age,advanced_respiratory_data,,calc,"Respiratory Age","round(datediff([respiratory_date],[basic_arm_1][dob],'y'),2)",,,,,,,,LH,,,," @HIDDEN @INSTANCETABLE_HIDE"
respiratory_tbl2,advanced_respiratory_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9725%; height: 417.407px;"" border=""1""><colgroup><col style=""width: 48.8193%;""><col style=""width: 1.45296%;""><col style=""width: 36.0333%;""><col style=""width: 13.6578%;""></colgroup> <tbody> <tr style=""height: 28.2176px;""> <td style=""text-align: center; background-color: #c2e0f4;"" colspan=""4""><span style=""font-size: 12pt;"">PRESSURE DATA</span><span style=""font-size: 12pt;""><br></span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">Maximum Inspiratory Pressure - MIP </td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{mip_cmh2o} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">cmH2O</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">Maximum Inspiratory Pressure - MIP</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{mip_perc}</span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;""> %</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">Maximum Espiratory Pressure - MEP</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{mep_cmh2o} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">cmH2O</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">Maximum Espiratory Pressure - MEP</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{mep_perc} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">%</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">Snif Nasal Inspiratory Pressure - SNIP</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{snip} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">cmH2O</span></td> </tr> <tr style=""height: 28.2176px;""> <td style=""text-align: center; background-color: #c2e0f4;"" colspan=""4""><span style=""font-size: 12pt;"">ARTERIAL BLOOD GASOMETRY (ABG) DATA</span><span style=""font-size: 12pt;""><br></span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">pH</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{ph}</span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;""> </span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">pCO2</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{pco2} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">mmHg</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">pO2</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{po2} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">mmHg</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">HCO3</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{hco3} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">mmol/L</span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">Excess Base (EB)</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{eb}</span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;""> </span></td> </tr> <tr style=""height: 24.5139px;""> <td colspan=""2"">SpO2 arterial</td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">{spo2_arterial} </span></td> <td style=""width: 4.1142%; text-align: center;""><span style=""font-size: 10pt;"">%</span></td> </tr> <tr> <td style=""text-align: center; background-color: #c2e0f4;"" colspan=""4""><span style=""font-size: 12pt;"">PULSEOXIMETRY</span></td> </tr> <tr> <td colspan=""2"">Proportion of total sleep time with SpO2 under 90% - CT90</td> <td style=""width: 4.1142%; text-align: center;"">{sleep_under90} </td> <td style=""width: 4.1142%; text-align: center;"">%</td> </tr> <tr> <td colspan=""2"">Time with SpO2 under 88%  - SpO2< 88% (min)</td> <td style=""width: 4.1142%; text-align: center;"">{time_under88} </td> <td style=""width: 4.1142%; text-align: center;"">min</td> </tr> <tr> <td colspan=""2"">SpO2 media</td> <td style=""width: 4.1142%; text-align: center;"">{spo2_media} </td> <td style=""width: 4.1142%; text-align: center;"">%</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
mip_cmh2o,advanced_respiratory_data,,text,"MIP cmH2O",,,number,0,200,,,y,RH,,,,
mip_perc,advanced_respiratory_data,,text,"MIP %",,,number,0,200,,,y,RH,,,,
mep_cmh2o,advanced_respiratory_data,,text,"MEP cmH2O",,,number,0,200,,,y,RH,,,,
mep_perc,advanced_respiratory_data,,text,"MEP %",,,number,0,200,,,y,RH,,,,
snip,advanced_respiratory_data,,text,"SNIP cmH2O",,,number,0,200,,,y,RH,,,,
sleep_under90,advanced_respiratory_data,,text,"CT90 %",,,number,0,100,,,y,RH,,,,
time_under88,advanced_respiratory_data,,text,"SpO2< 88% min",,,number,0,600,,,y,RH,,,,
spo2_media,advanced_respiratory_data,,text,"SpO2 media %",,,number,0,100,,,y,RH,,,,
ph,advanced_respiratory_data,,text,pH,,,number,0,10,,,y,RH,,,,
pco2,advanced_respiratory_data,,text,"pCO2 mmHg",,,number,0,99,,,y,RH,,,,
po2,advanced_respiratory_data,,text,"pO2 mmHg",,,number,0,150,,,y,RH,,,,
hco3,advanced_respiratory_data,,text,"HCO3 mmol/L",,,number,0,50,,,y,RH,,,,
eb,advanced_respiratory_data,,text,"Excess Base (EB)",,,number,0,100,,,,RH,,,,
spo2_arterial,advanced_respiratory_data,,text,"SpO2 arterial %",,,number,0,200,,,y,RH,,,,
grip_tbl_2,strength_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9527%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 100%;""></colgroup> <tbody> <tr> <td> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>STRENGTH DATA</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.5139px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.8939%; text-align: left;"">Date of the strength evaluation? {strength_date} <span style=""font-weight: normal;"">([strength_age] y.o.)</span></td> </tr> <tr> <td style=""width: 99.8939%; text-align: left;"">Is Grip evaluation available (Jamar dynamometer)? {grip}</td> </tr> <tr> <td style=""width: 99.8939%; text-align: left;"">Is Dynamometry evaluation available (handheld dynamometer)? {dynam}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
strength_date,strength_data,,text,"Date of the strength evaluation",,,date_dmy,[basic_arm_1][date_clinical_onset],today,y,,,LV,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
strength_age,strength_data,,calc,"Age at the Strength evaluation","round(datediff([basic_arm_1][strength_date],[basic_arm_1][dob],'y'),2)",,,,,,,,LV,,,," @HIDDEN"
grip,strength_data,,radio,Grip?,"0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
dynam,strength_data,,radio,Dynamometry?,"0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
grip_tbl1,strength_data,,descriptive,"<div class=""rich-text-field-label""><table style=""text-align: var(--bs-body-text-align); width: 81.4186%; height: 59.0278px;"" border=""1""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.9549%; text-align: center;"" colspan=""3"">Grip Strenght</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 22.812%;"">Right Hand</td> <td style=""text-align: center; width: 34.847%;"">{grip_r}</td> <td style=""text-align: center; width: 42.2959%;"">{grip_r_unit}</td> </tr> <tr style=""height: 10px;""> <td style=""width: 22.812%;"">Left Hand</td> <td style=""width: 34.847%; text-align: center;"">{grip_l}</td> <td style=""width: 42.2959%; text-align: center;"">{grip_l_unit}</td> </tr> </tbody> </table></div>",,,,,,,[grip]=1,,,,,,
grip_r,strength_data,,text,"Grip Strenght Right Hand Value",,,number,0,1000,,,y,RH,,,,
grip_l,strength_data,,text,"Grip Strenght Left Hand Value",,,number,0,1000,,,y,RH,,,,
grip_r_unit,strength_data,,radio,"Grip Strenght Right Hand Unit","1, Kg | 2, Newtons",,,,,,,y,RH,,,,
grip_l_unit,strength_data,,radio,"Grip Strenght Left Hand Unit","1, Kg | 2, Newtons",,,,,,,y,RH,,,,
grip_tbl2,strength_data,,descriptive,"<div class=""rich-text-field-label""><table style=""text-align: var(--bs-body-text-align); width: 81.4186%; height: 140.347px;"" border=""1""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.9549%; text-align: center;"" colspan=""3"">Dynamometry Strenght</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 22.812%;"">Right Hip flexion</td> <td style=""text-align: center; width: 34.8275%;"">{dynam_rh}</td> <td style=""text-align: center; width: 42.3154%;"">{dynam_rh_unit}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 22.812%;"">Left Hip flexion</td> <td style=""width: 34.8275%; text-align: center;"">{dynam_lh}</td> <td style=""width: 42.3154%; text-align: center;"">{dynam_lh_unit}</td> </tr> <tr style=""height: 42.2917px;""> <td style=""width: 22.812%;"">Right Elbow flexion</td> <td style=""text-align: center; width: 34.8275%;"">{dynam_re}</td> <td style=""text-align: center; width: 42.3154%;"">{dynam_re_unit}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 22.812%;"">Left Elbow flexion</td> <td style=""width: 34.8275%; text-align: center;"">{dynam_le}</td> <td style=""width: 42.3154%; text-align: center;"">{dynam_le_unit}</td> </tr> </tbody> </table></div>",,,,,,,[dynam]=1,,,,,,
dynam_rh,strength_data,,text,"Dynamometry Strenght Right Hip Flexion",,,number,0,1000,,,y,RH,,,,
dynam_lh,strength_data,,text,"Dynamometry Strenght Left Hip Flexion",,,number,0,1000,,,y,RH,,,,
dynam_re,strength_data,,text,"Dynamometry Strenght Right Elbow Flexion",,,number,0,1000,,,y,RH,,,,
dynam_le,strength_data,,text,"Dynamometry Strenght Left Elbow Flexion",,,number,0,1000,,,y,RH,,,,
dynam_rh_unit,strength_data,,radio,"Dynamometry strenght Right Hip flexion","1, Kg | 2, Newtons",,,,,,,y,RH,,,,
dynam_lh_unit,strength_data,,radio,"Dynamometry strenght Left Hip flexion","1, Kg | 2, Newtons",,,,,,,y,RH,,,,
dynam_re_unit,strength_data,,radio,"Dynamometry strenght Right Elbow flexion","1, Kg | 2, Newtons",,,,,,,y,RH,,,,
dynam_le_unit,strength_data,,radio,"Dynamometry strenght Left Elbow flexion","1, Kg | 2, Newtons",,,,,,,y,RH,,,,
cog_tbl0,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>COGNITIVE & BEHAVIOURAL ASSESSMENT</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Date: {cognitive_date} <span style=""font-weight: normal;"">([cognitive_age] y.o.)</span></td> </tr> <tr> <td style=""width: 99.7928%;"">Which test has been used? {nps_cognitive_test}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
cognitive_date,cognitive_assessment,,text,"Test Date",,,date_dmy,[basic_arm_1][dob],today,y,,y,,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
cognitive_age,cognitive_assessment,,calc,"Test Age","round(datediff([cognitive_date],[basic_arm_1][dob],'y'),2)",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
nps_cognitive_test,cognitive_assessment,,checkbox,"Type of Test performed","1, Edinburgh Cognitive ALS Screen (ECAS) | 3, Behavioural Assessment | 99, Other",,,,,,,y,,,,,
nps_cog_other_tbl,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9679%;"" border=""0""> <tbody> <tr> <td style=""width: 51.2207%;"" colspan=""2"">Specify the other test: {nps_cognitive_test_other}</td> <td style=""width: 48.7269%;"">Result: {nps_cognitive_test_other_score}</td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(99)] = '1'",,,,,," @INSTANCETABLE_HIDE"
nps_cognitive_test_other,cognitive_assessment,,text,"Other Test",,,,,,,,y,RH,,,,
nps_cognitive_test_other_score,cognitive_assessment,,text,"Other result",,,,,,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_table,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9379%;"" border=""0""> <tbody> <tr> <td style=""width: 99.9158%; text-align: center;""><span style=""color: #e03e2d; text-align: center;"">All variables are mandatory for calculation</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 99.8551%; text-align: center;""><span style=""color: #003b75;"">ECAS Cognitive Test</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 464.792px;"" border=""1""> <tbody> <tr> <td style=""width: 99.9348%;"" colspan=""4"">ECAS version:   {ecas_version}</td> </tr> <tr> <td style=""width: 99.9348%;"" colspan=""4"">ECAS modality:   {ecas_modality}</td> </tr> <tr style=""height: 25.0521px;""> <td style=""width: 20.1903%;"">Naming: </td> <td style=""width: 35.8777%;"">{ecas_language_naming} </td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-8)</span></td> <td style=""width: 28.034%; text-align: center;"" rowspan=""3"">Language: ([ecas_language_total])</td> </tr> <tr style=""height: 25.0521px;""> <td style=""width: 20.1903%;"">Comprehension:  </td> <td style=""width: 35.8777%;"">{ecas_language_comprehension}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-8)</span></td> </tr> <tr style=""height: 25.1042px;""> <td style=""width: 20.1903%;"">Spelling: </td> <td style=""width: 35.8777%;"">{ecas_language_spelling}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Fluency Letter P/F/D: </td> <td style=""width: 35.8777%;"">{ecas_fluency_letter_p} </td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> <td style=""text-align: center; width: 28.034%;"" rowspan=""3"">Verbal Fluency: ([ecas_verbal_fluency_total])</td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Fluency Letter T/M/R: </td> <td style=""width: 35.8777%;"">{ecas_fluency_letter_t} </td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> </tr> <tr style=""height: 73.4722px;""> <td style=""width: 71.9007%;"" colspan=""3""> <p style=""text-align: center;"">Verbal Fluency Index {ecas_verbal_fluency_index}</p> <p style=""text-align: center;""><span style=""font-weight: normal; color: #e03e2d;"">VFI = (Test Time* - Time Taken to read or copy the Words) / Num of Correct Words</span></p> <p style=""text-align: center;""><span style=""font-weight: normal; color: #e03e2d; font-size: 8pt;"">*Test time for verbal modality: 60 seg; Test time for written modality: 120 seg</span></p> </td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Reverse Digit Span:</td> <td style=""width: 35.8777%;"">{ecas_executive_reverse_digits}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> <td style=""text-align: center; width: 28.034%;"" rowspan=""4"">Executive Function: ([ecas_executive_total])</td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Alternation:</td> <td style=""width: 35.8777%;"">{ecas_executive_alternation} </td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> </tr> <tr style=""height: 42.6389px;""> <td style=""width: 20.1903%;"">Sentence Completion:</td> <td style=""width: 35.8777%;"">{ecas_executive_sentences} </td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Social Cognition: </td> <td style=""width: 35.8777%;"">{ecas_social_cognition}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-12)</span></td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Immediate Recall:</td> <td style=""width: 35.8777%;"">{ecas_memory_immediate}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-10)</span></td> <td style=""text-align: center; width: 28.034%;"" rowspan=""3"">Memory: ([ecas_memory_total])</td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Delayed Recall <span style=""font-weight: normal;"">(converted)</span>:</td> <td style=""width: 35.8777%;"">{ecas_memory_delayed_recall}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-10)</span></td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Delayed Recognition:</td> <td style=""width: 35.8777%;"">{ecas_memory_delayed_recognition}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-4)</span></td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Dot Counting:</td> <td style=""width: 35.8777%;"">{ecas_visuospatial_dots}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-4)</span></td> <td style=""text-align: center; width: 28.034%;"" rowspan=""3"">Visuospatial: ([ecas_visuospatial_total])</td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Cube Counting: </td> <td style=""width: 35.8777%;"">{ecas_visuospatial_cubes}</td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-4)</span></td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 20.1903%;"">Number Location:</td> <td style=""width: 35.8777%;"">{ecas_visuospatial_numbers} </td> <td style=""width: 15.8327%;""><span style=""font-weight: normal;"">(Range 0-4)</span></td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(1)] = '1' and [ecas_total_man]=''",,,,,,
ecas_version,cognitive_assessment,,radio,"ECAS version evaluated","1, A | 2, B | 3, C",,,,,,,y,RH,,,," @INSTANCETABLE_HIDE"
ecas_modality,cognitive_assessment,,radio,"ECAS modality","1, Verbal | 2, Written",,,,,,,y,RH,,,," @INSTANCETABLE_HIDE"
ecas_language_naming,cognitive_assessment,,text,"ECAS Language Naming Score",,,number,0,8,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_language_comprehension,cognitive_assessment,,text,"ECAS Language Comprehension Score",,,number,0,8,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_memory_immediate,cognitive_assessment,,text,"ECAS Immediate Memory Score",,,number,0,10,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_language_spelling,cognitive_assessment,,text,"ECAS Language Spelling Score",,,number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_fluency_letter_p,cognitive_assessment,,text,"ECAS Verbal Fluency Letter P Score",,,number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_verbal_fluency_index,cognitive_assessment,,text,"ECAS Verbal Fluency Index (VFI) Score (P letter)",,"VFI = (Test Time - Time Taken to Repeat Words) / Num of Correct Words",number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_executive_reverse_digits,cognitive_assessment,,text,"ECAS Executive Reverse Digit Span Score",,,number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_executive_alternation,cognitive_assessment,,text,"ECAS Executive Alternation Score",,,number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_fluency_letter_t,cognitive_assessment,,text,"ECAS Fluency Letter T Score",,,number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_visuospatial_dots,cognitive_assessment,,text,"ECAS Visuospatial Dot Counting",,,number,0,4,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_visuospatial_cubes,cognitive_assessment,,text,"ECAS Visuospatial Cube Counting",,,number,0,4,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_visuospatial_numbers,cognitive_assessment,,text,"ECAS Visuospatial Number Location",,,number,0,4,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_executive_sentences,cognitive_assessment,,text,"ECAS Executive Sentence Completion Span",,,number,0,12,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_social_cognition,cognitive_assessment,,text,"ECAS Social Cognition Score",,,number,0,12,,,,,,,," @INSTANCETABLE_HIDE"
ecas_memory_delayed_recall,cognitive_assessment,,text,"ECAS Delayed Recall Score (converted)",,,number,0,10,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_memory_delayed_recognition,cognitive_assessment,,text,"ECAS Delayed Recognition Score",,,number,0,4,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_language_total,cognitive_assessment,,calc,"ECAS Language Domain","sum([ecas_language_naming],[ecas_language_comprehension],[ecas_language_spelling])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_verbal_fluency_total,cognitive_assessment,,calc,"ECAS Verbal Fluency Domain","sum([ecas_fluency_letter_p],[ecas_fluency_letter_t])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_executive_total,cognitive_assessment,,calc,"ECAS Executive Domain","sum([ecas_executive_reverse_digits],[ecas_executive_alternation], [ecas_executive_sentences],[ecas_social_cognition])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_memory_total,cognitive_assessment,,calc,"ECAS Memory Domain","sum([ecas_memory_immediate],[ecas_memory_delayed_recall], [ecas_memory_delayed_recognition])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_visuospatial_total,cognitive_assessment,,calc,"ECAS Visuospatial Domain","sum([ecas_visuospatial_dots],[ecas_visuospatial_cubes],[ecas_visuospatial_numbers])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_als_specific,cognitive_assessment,,calc,"ALS Specific Score","sum([ecas_language_total],[ecas_verbal_fluency_total],[ecas_executive_total])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_als_spe_dic,cognitive_assessment,,text,"ALS Specific Category",,,,,,,,,RH,,,," @HIDDEN
@CALCTEXT(if([ecas_als_specific]>=53,'Normal',if([ecas_als_specific]<>'','Altered','')))"
ecas_als_non_specific,cognitive_assessment,,calc,"ALS Non-specific Score","sum([ecas_memory_total],[ecas_visuospatial_total])",,,,,,,,,,,," @HIDDEN @INSTANCETABLE_HIDE"
ecas_als_non_spe_dic,cognitive_assessment,,text,"ALS Non-specific Category",,,,,,,,,RH,,,," @HIDDEN
@CALCTEXT(if([ecas_als_non_specific]>=19,'Normal',if([ecas_als_non_specific]<>'','Altered','')))"
ecas_total,cognitive_assessment,,calc,"ECAS Total","if([ecas_total_man]<>'', 
[ecas_total_man],
sum(
sum([ecas_als_specific],[ecas_als_non_specific])))",,,,,,,,,,,," @HIDDEN"
ecas_total_man,cognitive_assessment,,text,"ECAS Total manual",,,integer,0,136,,,,,,,," @INSTANCETABLE_HIDE"
ecas_result_dic,cognitive_assessment,,text,"ECAS Category",,,,,,,,,RH,,,," @HIDDEN
@CALCTEXT(if([ecas_total]>=73,'Normal',if([ecas_total]<>'','Altered','')))
@INSTANCETABLE_HIDE"
ecas_tbl17,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8586%;"">ECAS ALS Specific: [ecas_als_specific] / 100, ([ecas_als_spe_dic])</td> </tr> <tr> <td style=""width: 99.8586%;"">ECAS ALS Non-specific: [ecas_als_non_specific] / 36, ([ecas_als_non_spe_dic])</td> </tr> <tr> <td style=""width: 99.8586%;""><span style=""text-align: justify;"">ECAS TOTAL: [ecas_total] / 136, ([ecas_result_dic])</span></td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(1)] = '1' and [ecas_als_specific] <> ''",,,,,,
ecas_tbl4,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: left;""><em><span style=""color: #e03e2d;"">Complete if <span style=""text-decoration: underline;"">only</span> the total value is available:</span></em></p> <table style=""border-collapse: collapse; width: 99.5757%; height: 10px;"" border=""1""> <tbody> <tr> <td style=""text-align: justify; width: 100%;"">ECAS ALS Specific: {ecas_als_specific_man} <span style=""font-weight: normal;"">/ 100,</span> ([ecas_als_spe_dic_man])</td> </tr> <tr> <td style=""text-align: justify; width: 100%;"">ECAS ALS Non-specific: {ecas_als_non_specific_man} <span style=""font-weight: normal;"">/ 36,</span> ([ecas_als_non_spe_dic_man])</td> </tr> <tr style=""height: 10px;""> <td style=""height: 10px; text-align: justify; width: 100%;"">ECAS TOTAL: {ecas_total_man} <span style=""font-weight: normal;"">(Range 0-136)</span>, ([ecas_result_dic])</td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(1)] = '1' and [ecas_language_naming] = ''",,,,,,
ecas_tbl11,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: left;""><em><span style=""color: #e03e2d;"">Complete if <span style=""text-decoration: underline;"">only</span> the total value is available:</span></em></p> <table style=""border-collapse: collapse; width: 99.5757%; height: 10px;"" border=""1""> <tbody> <tr style=""height: 10px;""> <td style=""height: 10px; text-align: justify; width: 100%;"">ECAS Language: {ecas_language_total_man} <span style=""font-weight: normal;"">(Range 0-28)</span></td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(1)] = '1' and [ecas_language_total] = ''",,,,,,
ecas_language_total_man,cognitive_assessment,,text,"ECAS Total Language",,,integer,0,28,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_tbl12,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><table style=""width: 99.5757%; height: 10px;"" border=""1""> <tbody> <tr> <td style=""text-align: justify; width: 100%;"">ECAS Verbal Fluency: {ecas_verbal_fluency_total_man}<span style=""font-weight: normal;""> (Range 0-24)</span></td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(1)] = '1' and [ecas_verbal_fluency_total] = ''",,,,,,
ecas_verbal_fluency_total_man,cognitive_assessment,,text,"ECAS Total Verbal Fluency",,,integer,0,24,,,y,,,,," @INSTANCETABLE_HIDE"
ecas_tbl13,cognitive_assessment,,descriptive,"<div class=""rich-text-field-label""><table style=""width: 99.5757%; height: 10px;"" border=""1""> <tbody> <tr> <td style=""text-align: justify; width: 100%;"">ECAS Executive function: {ecas_executive_total_man}<span style=""font-weight: normal;""> (Range 0-48)</span></td> </tr> </tbody> </table></div>",,,,,,,"[nps_cognitive_test(1)] = '1' and [ecas_executive_total] = ''",,,,,,
